name,latitude,longitude
ЕСПУ Гео Милев,42.8368587,22.6523505
СОУ Любен Каравелов,42.6373681,24.360574
ПМГ Акад. Никола Обрешков,42.5001739,27.4716602
Средно училище "Любен Каравелов",42.658336,27.7321529
ОУ Христо Ботев,43.6911767,23.8134036
Частен професионален колеж по спорт "Био фит",42.6621461,23.2870696
НЧ "Димитър Динев" - музикална школа,42.6635127,23.3009795
НЧ "Димитър Динев" - езикова школа,42.665559,23.3014985
Колеж по мениджмънт "Адам Смит",42.6631534,23.2527058
Департамент за информация и усъвършенстване на учители към СУ,42.6629611,23.2526261
ОУ "Константин Костенечки",42.2638843,23.8208547
ОУ "Г. С. Раковски",42.0655556,24.9580556
ПГ по земеделие Кл. Тимирязев,43.4383234,28.3405767
СОУ Стефан Караджа,43.4354308,28.3341264
ПУ Л. Каравелов,43.4347452,28.3446514
ОУ Йордан Йовков,43.4346362,28.3338367
ПГ по строителство, електротехника и услуги,42.9163882,24.2720458
ПГ по горско стопанство и дървообработване Сава Младенов,42.9161213,24.2669192
Езиков център WORDS,42.4941715,27.4725283
Prolet,42.1597529,24.7262136
СОУ "Васил Левски",42.0157773,23.9900602
ТИТ "Алеко Константинов",42.0218532,23.9889832
ОУ ,,Панайот Волов",43.2460624,27.9799515
ПГ по туризъм сгр.2,42.3350797,23.5609832
ХГ "Дамян Дамянов",42.681487,26.3180678
Спортно училище Ген. Вл. Стойчев,42.6734879,23.3775341
ЧПК по мениджмънт,42.6891519,26.318524
Медицински колеж,42.6851656,26.3193488
ПГ по текстил и облекло "Добри Чинтулов",42.6897239,26.3186783
НХГ "Димитър Добрович",42.6787655,26.3280045
ПГ "Христо Ботев",41.3813836,25.0986161
Маестро,43.2055643,27.9216827
ПГ по лека промишленост "Васил Левски",42.029255,24.3031864
Народно основно училище "Йордже Димитровъ",41.6838351,23.8261084
Килийно училище - лето 1820,41.684251,23.8256302
Езикова школа "Панелиника",42.6912115,23.3414562
Езиков център "Success",42.6898087,23.3169015
Educational Centre,42.6915023,23.3232026
НУ "Отец Паисий",43.192341,27.7061519
ЧОУ "Образователни технологии",42.6780127,23.3807993
ДОВДЛРГ Велика и Георги Ченчеви,43.0259956,25.1080306
училище Фарос,42.4968156,27.4740012
ЕСПА,42.6476362,23.2959625
Пловдивска Духовна Семинария,42.1527114,24.751095
Артистична MuzArto Академия,42.6854231,23.2978657
ОУ "Георги Бенковски",42.6952712,23.9889091
Професионална гимназия по облекло "Ана Май",42.1474526,24.7463261
ПГТП гр.Попово,43.3465785,26.221392
ПГСС "Никола Пушкаров",43.3412242,26.2204018
ОУ „Никола Й. Вапцаров“,43.3434168,26.2216733
Основно училище „Димитър Благоев“,41.9034243,24.4829716
ОУ "Св. Св Кирил и Методий",43.3501949,26.2291652
Училище за чужди езици "Биг Бен" Младост,42.6555048,23.3753865
Образователен център "Слънчева пътека",43.0802125,25.607337
Дружба,42.1516175,24.7389878
Vapcarov,44.1179919,27.270905
Социално-Педагогически Интернат "Максим Горки",41.6536826,24.6354549
ОУ " Никола Й. Вапцаров",41.5997922,24.1802324
Незабравка,43.5220754,26.5276801
Училище за чужди езици БИГ БЕН,42.6931911,23.3312053
Фарос,42.6915741,23.3255147
Step by Step,42.6916677,23.3297911
СУ "Св.Св.Кирил и Методий" корпус 2,43.0669881,27.0135686
Helen Doron Sofia West,42.7021261,23.3000097
ОУ "Васил Левски",42.7165448,23.9330026
Maximum English School,42.1397835,24.7498756
ГПЧЕ „Алеко Константинов“,42.8935804,23.9198146
Основно училище "Васил Левски",42.8931915,23.9196554
Европейска академия за обучение и развитие,42.7057658,23.2788724
Обединена школа по изкуства,43.271252,26.9254985
СУ Панайот Пипков,43.1293306,24.7141153
СУ "Св. Климент Охридски",43.1394981,24.7174598
ОУ Христо Никифоров,43.1471645,24.7164129
Професионална гимназия по кожарство, облекло и химични технологии „Марийка и Маринчо Караконови“,43.1408087,24.721639
Професионална гимназия по ветеринарна медицина "Професор д-р Димитър Димов",43.1456971,24.7187037
Езиков център „Ориндж хаус“,43.2033442,27.9148809
Начално училище "Любен Каравелов",42.949043,24.2673933
СОУ "Христо Смирненски",42.0415254,23.8754542
Бивше училище,42.2294111,24.3022138
ОУ "Васил Април",42.1357344,25.1364237
ОУ "Отец Паисий",43.0561383,25.0347492
ОУ "Захари Стоянов",43.2170799,27.9393861
Мария-Жанет,42.6714257,23.2882241
Мария-Жанет,42.671218,23.2880117
Математическа гимназия „Доктор Петър Берон“,43.217073,27.9385496
Мария-Жанет,42.669805,23.2839171
Стефчето,42.6686274,23.2829943
МяСтоТо,42.6663008,23.2948135
Lern,42.6662827,23.2955271
Образователен център "Студио S",42.6649945,23.3023743
ОУ "Гео Милев",42.135796,24.939909
СУ Христо Ботев,42.2887516,23.2660597
Училища "Европа",42.7306558,23.2985109
МУ Колеж по фармация,43.2153592,27.9134838
ВСУ "Захари Стоянов",42.5145689,27.4561965
Училище Хр. Ботев,42.4398253,23.814043
Бивше училище "Христо Ботев",44.0326034,22.7472777
Бивше училище "Васил Левски",44.0293555,22.7603084
Роботика,42.661796,23.362963
Езиков Център ИНТЕРЛЕТЕРА,42.6434779,24.8076633
Учебен Център Елвис Пресли,42.6905135,23.3115807
НУЛЦ - БЧК,42.5956577,23.5086174
СУ "Ангел Каралийчев",43.2298994,25.9628117
Mental Arithmetic of Europe,42.6897896,23.3094478
Театрален колеж Любен Гройс,42.6951844,23.3462141
Каменоделско училище,43.1862764,24.0075122
ОУ Христо Ботев,42.401462,23.0783437
Детска занималня Ян Бибиян,42.1438968,24.7462415
High School Otets Paisii,41.5055566,24.9371914
Първа частна търговска гимназия,43.203016,27.9191996
Академия за музикално, танцово и изобразително изкуство,42.1484906,24.7512427
Валдорфско училище "Проф. Николай Райнов",42.678527,23.356955
Занималня Лукчо,42.7011168,23.2832841
Музыкальная школа,43.5247038,26.5263867
СВ.СВ. Кирил и Методий,42.6474754,26.9871022
Светлина,42.6490532,23.3366583
Св. Св. Кирил и Методий,41.6234904,23.9334562
СОУ ПАИСИЙ ХИЛЕНДАРСКИ,41.4615472,25.1841241
ОУ "П. Р. Славейков",43.2117239,27.9076659
ПМГ "Акад. Методи Попов",43.2118192,27.9077944
Denis Diderot,42.7033394,23.1354295
